Time,Number_of_Bumps,Number_of_Doors_Detected,Distance_to_Wall,Right_IR_Reading,Odometer_X_mm,Odometer_Y_mm,Odometer_Heading_degrees
0.01,0,0,3821,3821,0.0,0.0,89.9
0.83,0,0,1078,1078,0.3,8.5,89.3
1.5,1,1,831,831,0.8,26.7,88.9
2.27,1,1,973,973,1.0,16.1,90.8
3.03,1,1,1409,1409,0.8,24.0,92.8
3.71,1,1,1386,1386,0.3,41.7,92.7
4.35,1,1,1439,1439,-0.3,64.5,93.0
5.06,1,1,1347,1347,-0.9,82.2,93.5
5.69,1,1,1466,1466,-1.9,104.7,93.9
7.8,1,1,633,633,-5.6,165.1,95.2
9.74,1,1,149,149,-9.9,226.6,95.4
12.53,1,2,5,5,-15.7,307.9,95.4
15.77,1,2,3,3,-23.1,407.3,95.8
18.38,1,2,6,6,-30.3,485.4,95.5
21.89,1,2,0,0,-38.7,591.8,95.6
25.94,1,2,3,3,-47.2,714.6,95.5
29.99,1,2,3,3,-57.1,834.7,96.8
37.59,2,3,26,26,-78.9,1044.7,97.6
53.09,8,3,27,27,-46.1,1138.6,88.4
75.58,1,1,0,0,-19.4,1535.4,187.9
